ux_l,ux_r,uy_t,uy_b
 -0.0, 6.191397697449341e-10, 2.2568543893291384e-08, 2.323095293092438e-08
 -0.0, 6.180669693657154e-10, 2.1905070314962246e-08, 2.2568543893291384e-08
 -0.0, 6.184553162545935e-10, 2.1245621631035882e-08, 2.1905070314962246e-08
 -0.0, 6.150093722862414e-10, 2.0587296444306523e-08, 2.1245621631035882e-08
 -0.0, 6.141646861077651e-10, 1.9937887861723106e-08, 2.0587296444306523e-08
 -0.0, 6.098838854303096e-10, 1.9285820536232644e-08, 1.9937887861723106e-08
 -0.0, 6.089493743783862e-10, 1.8632694260161277e-08, 1.9285820536232644e-08
 -0.0, 6.102979589962122e-10, 1.79866596767461e-08, 1.8632694260161277e-08
 -0.0, 6.111676608134321e-10, 1.734629794443862e-08, 1.79866596767461e-08
 -0.0, 6.151520440217962e-10, 1.6709712920315045e-08, 1.734629794443862e-08
 -0.0, 6.160442203623814e-10, 1.6069638684697278e-08, 1.6709712920315045e-08
 -0.0, 6.189262208247785e-10, 1.5435649864489708e-08, 1.6069638684697278e-08
 -0.0, 6.204369867142183e-10, 1.480486955690885e-08, 1.5435649864489708e-08
 -0.0, 6.207720874168116e-10, 1.4177062529118033e-08, 1.480486955690885e-08
 -0.0, 6.198791966520493e-10, 1.3550381496681033e-08, 1.4177062529118033e-08
 -0.0, 6.167945716531738e-10, 1.2922888066821761e-08, 1.3550381496681033e-08
 -0.0, 6.157966177874332e-10, 1.22989136930188e-08, 1.2922888066821761e-08
 -0.0, 6.15958430207939e-10, 1.1677933083045298e-08, 1.22989136930188e-08
 -0.0, 6.153629688721069e-10, 1.1058653687602014e-08, 1.1677933083045298e-08
 -0.0, 6.151401593132031e-10, 1.043627745021016e-08, 1.1058653687602014e-08
 -0.0, 6.163168339204656e-10, 9.816002337497441e-09, 1.043627745021016e-08
 -0.0, 6.193792573838871e-10, 9.202765917366987e-09, 9.816002337497441e-09
 -0.0, 6.211661820767427e-10, 8.588043050760856e-09, 9.202765917366987e-09
 -0.0, 6.207516018960652e-10, 7.969008799519988e-09, 8.588043050760856e-09
 -0.0, 6.218032909985269e-10, 7.351864691182559e-09, 7.969008799519988e-09
 -0.0, 6.227001527851148e-10, 6.7420282243872945e-09, 7.351864691182559e-09
 -0.0, 6.217905797079326e-10, 6.129079524627344e-09, 6.7420282243872945e-09
 -0.0, 6.206655317702999e-10, 5.511001303927314e-09, 6.129079524627344e-09
 -0.0, 6.195464125375682e-10, 4.897137521601601e-09, 5.511001303927314e-09
 -0.0, 6.204095281510962e-10, 4.287839492988254e-09, 4.897137521601601e-09
 -0.0, 6.191493230521175e-10, 3.6752443792332436e-09, 4.287839492988254e-09
 -0.0, 6.188188838826324e-10, 3.0587747819124846e-09, 3.6752443792332436e-09
 -0.0, 6.20078274250248e-10, 2.447274443428695e-09, 3.0587747819124846e-09
 -0.0, 6.201199762221638e-10, 1.8388281845010757e-09, 2.447274443428695e-09
 -0.0, 6.207670009536835e-10, 1.2250206008634599e-09, 1.8388281845010757e-09
 -0.0, 6.201780860372586e-10, 6.097060915779747e-10, 1.2250206008634599e-09
 -0.0, 6.215770728998657e-10, -0.0, 6.097060915779747e-10
 5.943428778064251e-06, 3.593957200688064e-06, 2.3494695368362555e-06, -0.0
 2.3494695368351975e-06, 2.349464564129941e-06, 2.3494645641293063e-06, 2.3494695368362555e-06
 1.1049769002821533e-06, 1.465474611485187e-06, 1.98894626428466e-06, 2.3494645641293063e-06
 6.049604711741627e-07, 9.419891579234321e-07, 1.6518892713890322e-06, 1.98894626428466e-06
 3.728738306387777e-07, 6.35778521685845e-07, 1.3889482920055913e-06, 1.6518892713890322e-06
 2.507546813651031e-07, 4.5047116618850425e-07, 1.1891899218191117e-06, 1.3889482920055913e-06
 1.7967121644410103e-07, 3.3300573322388036e-07, 1.0358086143643061e-06, 1.1891899218191117e-06
 1.349229035277441e-07, 2.5502172061381435e-07, 9.156579161466281e-07, 1.0358086143643061e-06
 1.0499897113447316e-07, 2.0105151665037147e-07, 8.19553518572546e-07, 9.156579161466281e-07
 8.40207777905246e-08, 1.6233260756901382e-07, 7.411850170456313e-07, 8.19553518572546e-07
 6.875231078121705e-08, 1.3369321713156356e-07, 6.761841764585973e-07, 7.411850170456313e-07
 5.72962216577795e-08, 1.1195125198723234e-07, 6.214672580547019e-07, 6.761841764585973e-07
 4.848124972317268e-08, 9.507492562642671e-08, 5.748112573572936e-07, 6.214672580547019e-07
 4.155465992674788e-08, 8.172381764057568e-08, 5.345759690721473e-07, 5.748112573572936e-07
 3.6013276730559354e-08, 7.098564089567904e-08, 4.995346098314441e-07, 5.345759690721473e-07
 3.151066913478126e-08, 6.222415703263395e-08, 4.687543356298619e-07, 4.995346098314441e-07
 2.780195477472735e-08, 5.498402199556344e-08, 4.4150786784780664e-07, 4.687543356298619e-07
 2.4711607465048342e-08, 4.8933738060762923e-08, 4.172170615679207e-07, 4.4150786784780664e-07
 2.2109532357407528e-08, 4.382753911152786e-08, 3.9543470052974583e-07, 4.172170615679207e-07
 1.9897739940786835e-08, 3.9477836690092895e-08, 3.757937309399978e-07, 3.9543470052974583e-07
 1.8002985946481396e-08, 3.574450360704172e-08, 3.579906005029343e-07, 3.757937309399978e-07
 1.6365986359033183e-08, 3.251530333298498e-08, 3.4177774197861204e-07, 3.579906005029343e-07
 1.494250504027704e-08, 2.9704401044616618e-08, 3.2695883029239837e-07, 3.4177774197861204e-07
